title,location,country,city,stars,rating,ratings_no,date,duration,airport,food,price,old_price
Pantheon,Wypoczynek Grecja: Kos,Grecja, Kos,2.0,5.3,10,03.10.2023,8,Warszawa Chopin,Śniadania,2380.0,
Aktinia,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,3.0,,0,06.06.2023,8,Warszawa Chopin,All inclusive,2380.0,
Paryż - Rodzinne Parki Atrakcji - wersja lotnicza,Objazd Francja: Paryż,Francja, Paryż,,5.5,19,19.09.2023,5,Warszawa-Radom,Śniadania,2391.0,
Sealife Family Resort Hotel,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,5.5,12,09.12.2023,8,Katowice,All inclusive,2394.0,2894.0
Olimpos Beach Hotel,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,3.0,,0,13.05.2023,8,Wrocław,All inclusive,2394.0,
Kolibri Hotel,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,3.0,4.5,10,03.06.2023,8,Wrocław,All inclusive,2394.0,
Kostakis Beach,Wypoczynek Grecja: Kreta - Chania,Grecja, Kreta - Chania,3.0,,0,21.06.2023,8,Poznań,Śniadania,2395.0,
Grand Kolibri Prestige and Spa,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,4.9,22,13.05.2023,8,Wrocław,Ultra All Inclusive,2396.0,
Bonn Beach Hotel,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,3.0,,0,13.05.2023,8,Wrocław,All inclusive,2415.0,
Karbel Hotel,Wypoczynek Turcja: Marmaris - Dalaman,Turcja, Marmaris - Dalaman,3.5,5.3,83,08.05.2023,8,Katowice,All inclusive,2415.0,
Flamingo Hotel,Wypoczynek Turcja: Marmaris,Turcja, Marmaris,3.0,,0,29.05.2023,8,Poznań,All inclusive,2418.0,
Budapeszt - w rytmie czardasza,Objazd Węgry: Budapeszt,Węgry, Budapeszt,,,0,14.09.2023,4,Warszawa Modlin,Śniadania,2420.0,
Jasmin Beach,Wypoczynek Turcja: Riwiera Egejska,Turcja, Riwiera Egejska,4.0,5.0,83,11.05.2023,8,Wrocław,All inclusive,2429.0,
Medusa,Wypoczynek Grecja: Chalkidiki,Grecja, Chalkidiki,3.0,4.0,2,30.09.2023,8,Katowice,Bez wyżywienia,2429.0,
Hotel Sun Palace,Wypoczynek Bułgaria: Słoneczny Brzeg,Bułgaria, Słoneczny Brzeg,4.0,,0,06.06.2023,8,Warszawa Chopin,All inclusive,2430.0,
Playacalida,Wypoczynek Hiszpania: Costa del Sol,Hiszpania, Costa del Sol,4.5,5.3,267,15.05.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,2430.0,
Charm Beach Hotel,Wypoczynek Turcja: Riwiera Egejska,Turcja, Riwiera Egejska,4.0,5.8,2,07.05.2023,8,Warszawa Chopin,All inclusive,2430.0,
Mala Plaza,Wypoczynek Czarnogóra: Ulcinj,Czarnogóra, Ulcinj,3.0,4.0,66,18.05.2023,8,Warszawa Chopin,Śniadania i obiadokolacje,2430.0,
Cartago Nova by Alegria,Wypoczynek Hiszpania: Costa Brava,Hiszpania, Costa Brava,3.0,,0,20.09.2023,8,Katowice,Śniadania i obiadokolacje,2436.0,
Royal Taj Mahal,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,6.0,4,16.12.2023,8,Katowice,Ultra All Inclusive,2446.0,3046.0
